Name,Description,Type,Path
uDom-Admins-AD-ENG,uDom admins who are domain local admins.,DomainLocal,adminGrps
uDom-Admins-AD-OPS,"uDom admins who administrate AD, but are NOT domain admins.",DomainLocal,adminGrps
uDom-Admins-BigFix,uDom BigFix administrators.,DomainLocal,adminGrps
uDom-Admins-DNS,uDom DNS administrators.,DomainLocal,adminGrps
uDom-Admins-PKI,uDom members granted local administrator rights on PKI servers.,DomainLocal,adminGrps
uDom-SVR-Auditors,uDom members granted rights to read security logs on member servers.,DomainLocal,adminGrps
uDom-SVR-Auditors-DCs,uDom members granted rights to read security logs on domain controllers.,DomainLocal,adminGrps
uDom-SVR-Local-Admins,uDom members granted local administrator rights on member servers.,DomainLocal,adminGrps
uDom-SVR-Local-Admins-DCs,uDom members granted local administrator rights on domain controllers.,DomainLocal,adminGrps
uDom-SVR-RSA-NoChallenge,uDom members are not required to use RSA to logon. Member of SVR-RSA-NoChallenge.,DomainLocal,adminGrps
uDom-WKS-Local-Admins,uDom members granted local administrator rights on workstations.,DomainLocal,adminGrps
uDom-WKS-RSA-NoChallenge,uDom members are not required to use RSA to logon. Member of WKS-RSA-NoChallenge.,DomainLocal,adminGrps
uDom-DelegatedRight-ManageAD,uDom members that have full control of \nbN\* OUs.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManageAD-ENG,uDom members that are delegated most rights granted to Domain Admins.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManageGroups,uDom members that can manage AD groups under \nbN OU.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManagePKI,uDom members that can publish and manage PKI in AD.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManageSVRCompObjs,uDom members that can join servers to the domain.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManageUsers,uDom members that can manage AD users under \nbN OU.,DomainLocal,delRgtsGrps
uDom-DelegatedRight-ManageWKSCompObjs,uDom members that can join workstations to the domain.,DomainLocal,delRgtsGrps
